tunnus,nimi,isin,id_notation,aum,kulut,toteutus,osinko
DBXI,Xtrackers FTSE MIB UCITS ETF (DR) Distribution 1D,LU0274212538,16564493,"80,46 M€","0,30 %",Arvopaperi,Puolivuosittain
XMOV,Xtrackers Future Mobility UCITS ETF,IE00BGV5VR99,244833532,"187,73 M$","0,35 %",Arvopaperi,
RQFI,Xtrackers Harvest CSI300 UCITS ETF Distribution 1D,,96044056,"318,14 M$","0,65 %",Arvopaperi,Puolivuosittain
XDEP,Xtrackers iBoxx EUR Corporate Bond Yield Plus UCITS ETF,IE00BYPHT736,163168095,"412,02 M€","0,25 %",Arvopaperi,Puolivuosittain
XB4F,Xtrackers II ESG EUR Corporate Bond UCITS ETF 1D,LU0484968812,39823290,"1 967,96 M€","0,16 %",Arvopaperi,Neljännesvuosittain
D5BG,Xtrackers II EUR Corporate Bond UCITS ETF,LU0478205379,34012124,"4 213,58 M€","0,12 %",Arvopaperi,
XLIQ,Xtrackers II EUR Covered Bond Swap UCITS ETF,LU0820950128,74541100,,,Johdannainen,
XHYA,Xtrackers II EUR HIGH YIELD CORPORATE BOND UCITS ETF (DR) Capitalisation 1C,LU1109943388,183102167,"1 593,63 M€","0,20 %",Arvopaperi,
XHYG,Xtrackers II EUR HIGH YIELD CORPORATE BOND UCITS ETF (DR) Distribution 1D,LU1109942653,121841990,"1 005,32 M€","0,20 %",Arvopaperi,Neljännesvuosittain
XEON,Xtrackers II EUR Overnight Rate Swap UCITS ETF,LU0290358497,18271340,"20 402,2 M€","0,10 %",Johdannainen,
XEOD,Xtrackers II EUR Overnight Rate Swap UCITS ETF,LU0335044896,22332575,"1 199,5 M€","0,10 %",Johdannainen,Neljännesvuosittain
X03B,Xtrackers II Eurozone Government Bond 1-3 UCITS ETF,LU0614173549,57145177,"315,38 M€","0,24 %",Arvopaperi,Puolivuosittain
DBXP,Xtrackers II Eurozone Government Bond 1-3 UCITS ETF,LU0290356871,18271330,"2 800,49 M€","0,24 %",Arvopaperi,
DBXQ,Xtrackers II Eurozone Government Bond 3-5 UCITS ETF Capitalisation 1C,LU0290356954,18271331,"503,56 M€","0,16 %",Arvopaperi,
X03C,Xtrackers II Eurozone Government Bond 3-5 UCITS ETF Distribution 1D,LU0614173895,57145178,"31,69 M€","0,16 %",Arvopaperi,Puolivuosittain
X57E,Xtrackers II Eurozone Government Bond 5-7 UCITS ETF Capitalisation 1C,LU0290357176,18271332,"861,81 M€","0,24 %",Arvopaperi,
X710,Xtrackers II Eurozone Government Bond 7-10 UCITS ETF Capitalisation 1C,LU0290357259,18271333,"1 435,42 M€","0,15 %",Arvopaperi,
DBXF,Xtrackers II EUROZONE GOVERNMENT BOND 15-30 UCITS ETF (DR) Capitalisation 1C,LU0290357507,18271335,"73,93 M€","0,15 %",Arvopaperi,
DBXG,Xtrackers II EUROZONE GOVERNMENT BOND 25+ UCITS ETF (DR) Capitalisation 1C,LU0290357846,18271337,"114,36 M€","0,15 %",Arvopaperi,
DXSV,Xtrackers II Eurozone Government Bond Short Daily Swap UCITS,LU0321463258,22888533,"8,76 M€","0,15 %",Johdannainen,
XGLE,Xtrackers II Eurozone Government Bond UCITS ETF,LU0290355717,18271329,"2 247,59 M€","0,07 %",Arvopaperi,
X03F,Xtrackers II Eurozone Government Bond UCITS ETF,LU0643975591,54757978,"536,57 M€","0,09 %",Arvopaperi,Puolivuosittain
XEIN,Xtrackers II Eurozone Inflation-Linked Bond UCITS ETF,LU0290358224,18271339,"390,9 M€","0,15 %",Arvopaperi,
DXS1,Xtrackers II GBP Overnight Rate Swap UCITS ETF 1D Distribution,LU0321464652,21432223,"175,43 M£","0,10 %",Johdannainen,Puolivuosittain
D5BC,Xtrackers II Germany Government Bond 1-3 UCITS ETF,LU0468897110,32857106,"18,09 M€","0,15 %",Arvopaperi,Puolivuosittain
D5BB,Xtrackers II Germany Government Bond UCITS ETF,LU0468896575,32857105,"84,7 M€","0,15 %",Arvopaperi,Puolivuosittain
X03G,Xtrackers II Germany Government Bond UCITS ETF,LU0643975161,54757976,"812,38 M€","0,15 %",Arvopaperi,
XBAG,Xtrackers II Global Aggregate Bond Swap UCITS ETF,LU0942970103,100404321,"97,79 M$","0,15 %",Johdannainen,Neljännesvuosittain
XBAE,Xtrackers II Global Aggregate Bond Swap UCITS ETF,LU0942970798,100404322,"386,62 M$","0,20 %",Johdannainen,
DBZB,Xtrackers II Global Government Bond UCITS ETF,LU0378818131,26954823,"704,53 M€","0,27 %",Arvopaperi,
XGVD,Xtrackers II Global Government Bond UCITS ETF,LU0690964092,57145183,"103,48 M€","0,27 %",Arvopaperi,Neljännesvuosittain
XGIN,Xtrackers II Global Inflation-Linked Bond UCITS ETF,LU0290357929,18271338,"358,35 M€","0,25 %",Arvopaperi,
XGII,Xtrackers II Global Inflation-Linked Bond UCITS ETF,LU0962078753,92286196,"129,43 M€","0,25 %",Arvopaperi,Neljännesvuosittain
CGB,Xtrackers II HARVEST CSI CHINA SOVEREIGN BOND UCITS ETF (DR) Distribution 1D,LU1094612022,137178864,"20,81 M$","0,20 %",Arvopaperi,Puolivuosittain
XYP1,Xtrackers II iBoxx Eurozone Government Bond Yield Plus 1-3,LU0925589839,87642559,"243,58 M€","0,15 %",Arvopaperi,
XY4P,Xtrackers II iBoxx Eurozone Government Bond Yield Plus UCITS,LU0524480265,39285557,"1 042,49 M€","0,15 %",Arvopaperi,
XYPD,Xtrackers II iBoxx Eurozone Government Bond Yield Plus UCITS,LU0962071741,92286167,"243,32 M€","0,15 %",Arvopaperi,Puolivuosittain
XBCT,Xtrackers II IBOXX GERMANY COVERED UCITS ETF Capitalisation 1C,LU0321463506,21432221,,,Johdannainen,
D5BE,Xtrackers II IBOXX USD TREASURIES 1-3 UCITS ETF (DR) Distribution 1D,LU0429458895,141027233,"169,13 M$","0,07 %",Arvopaperi,Puolivuosittain
XTC5,Xtrackers II ITRAXX CROSSOVER SHORT DAILY UCITS ETF Capitalisation 1C,LU0321462870,21432220,"20,04 M€","0,24 %",Johdannainen,
XEMB,Xtrackers II J.P. Morgan USD Emerging Markets Bond UCITS ETF -1C - EUR Hedged- Capitalisation,LU0321462953,22888532,"194,55 M$","0,40 %",Arvopaperi,
XBO2,Xtrackers II MTS EX-BANK OF ITALY BOT UCITS ETF,LU0613540268,69860714,"51,6 M€","0,15 %",Johdannainen,
XHY1,Xtrackers II Rolling Target Maturity Sept 2027 EUR High Yield UCITS ETF 1D Distribution,LU1109939865,121841989,"256,08 M€","0,45 %",Arvopaperi,Puolivuosittain
XBAT,Xtrackers II Target Maturity Sept 2029 Italy and Spain Government Bond UCITS ETF 1C Capitalisation,LU0484969463,39285556,"9,01 M€","0,15 %",Arvopaperi,
XFFE,Xtrackers II USD Overnight Rate Swap UCITS ETF -1C- Capitalisation,LU0321465469,21432222,"321,55 M$","0,10 %",Johdannainen,
XUTD,Xtrackers II US Treasuries UCITS ETF,LU0429459356,141027223,"1 092,72 M$","0,07 %",Arvopaperi,Neljännesvuosittain
XUTE,Xtrackers II US Treasuries UCITS ETF,LU1399300455,176595138,"1 103,02 M$","0,10 %",Arvopaperi,Neljännesvuosittain
DBPE,Xtrackers LevDAX Daily Swap UCITS ETF Capitalisation 1C,LU0411075376,34800151,"58,07 M€","0,35 %",Johdannainen,
DX2D,Xtrackers LPX MM PRIVATE EQUITY UCITS ETF Capitalisation 1C,LU0322250712,21554652,"287,02 M€","0,70 %",Johdannainen,
XAXJ,Xtrackers MSCI AC Asia ex Japan ESG UCITS ETF -1C- Capitalisation,LU0322252171,26954820,"371,15 M$","0,65 %",Johdannainen,
XMAW,Xtrackers MSCI AC World Screened UCITS ETF Accum Shs -1C- EUR,IE00BGHQ0G80,98754237,"5 226,48 M€","0,25 %",Arvopaperi,
XMKA,Xtrackers MSCI AFRICA TOP 50 INDEX UCITS ETF Capitalisation 1C,LU0592217524,49012768,"87,2 M$","0,65 %",Johdannainen,
XMBR,Xtrackers MSCI BRAZIL UCITS ETF Capitalisation 1C,LU0292109344,18362678,"303,6 M$","0,25 %",Arvopaperi,
D5BH,Xtrackers MSCI Canada Screened UCITS ETF -1C- Capitalisation,LU0476289540,35486960,"1 246,47 M$","0,35 %",Arvopaperi,
DBX9,Xtrackers MSCI China A UCITS ETF Capitalisation -1C-,,18362674,"137,35 M$","0,60 %",Arvopaperi,
XMAS,Xtrackers MSCI EM Asia Screened Swap UCITS ETF-1C- Capitalisation,LU0292107991,18362676,"448,61 M$","0,65 %",Johdannainen,
XZEM,Xtrackers MSCI Emerging Markets ESG UCITS ETF Accum Shs -1C- USD,IE00BG370F43,270894728,"1 744,63 M$","0,25 %",Arvopaperi,
XMEM,Xtrackers MSCI Emerging Markets Swap UCITS ETF Capitalisation 1C,LU0292107645,18362672,"947,22 M$","0,12 %",Johdannainen,
XMME,Xtrackers MSCI Emerging Markets UCITS ETF,IE00BTJRMP35,190772917,"12 336,4 M$","0,18 %",Arvopaperi,
XMEA,Xtrackers MSCI EM Europe Middle East & Africa ESG UCITS ETF -1C- Capitalisation,LU0292109005,18362671,"38,92 M$","0,65 %",Johdannainen,
DBX3,Xtrackers MSCI EM Latin America ESG UCITS ETF -1C- Capitalisation,LU0292108619,18362677,"156,09 M$","0,65 %",Johdannainen,
XMVE,Xtrackers MSCI EMU Screened UCITS ETF Shs -1D- EUR,IE00BDGN9Z19,174763667,"11,18 M€","0,25 %",Arvopaperi,Puolivuosittain
XD5E,Xtrackers MSCI EMU UCITS ETF Distribution 1D,LU0846194776,74541099,"1 862,04 M€","0,14 %",Arvopaperi,Puolivuosittain
DXSG,Xtrackers MSCI Europe Communication Services Screened UCITS ETF -1C- Capitalisation,LU0292104030,18441114,"9,86 M€","0,20 %",Johdannainen,
DXSK,Xtrackers MSCI Europe Consumer Staples Screened UCITS ETF -1C- Capitalisation,LU0292105359,18441106,"47,43 M€","0,30 %",Arvopaperi,
XZEU,Xtrackers MSCI Europe ESG UCITS ETF Accum EUR,IE00BFMNHK08,217616822,"972,08 M€","0,20 %",Arvopaperi,
XS7R,Xtrackers MSCI Europe Financials Screened UCITS ETF -1C- Capitalisation,LU0292103651,18441110,"130,53 M€","0,30 %",Arvopaperi,
DXSE,Xtrackers MSCI Europe Health Care Screened UCITS ETF -1C- Capitalisation,LU0292103222,18441112,261 M€,"0,20 %",Arvopaperi,
DXSL,Xtrackers MSCI Europe Industrials Screened UCITS ETF -1C- Capitalisation,LU0292106084,18441107,"37,81 M€","0,20 %",Arvopaperi,
XS8R,Xtrackers MSCI Europe Information Technology Screened UCITS ETF -1C- Capitalisation,LU0292104469,18441116,"31,1 M€","0,30 %",Johdannainen,
DXSC,Xtrackers MSCI Europe Materials Screened UCITS ETF -1C- Capitalisation,LU0292100806,18441109,"41,99 M€","0,20 %",Arvopaperi,
DX2I,Xtrackers MSCI Europe Screened UCITS ETF -1C- Capitalisation,LU0322253732,21554654,"92,98 M$","0,12 %",Arvopaperi,
XXSC,Xtrackers MSCI Europe Small Cap UCITS ETF Capitalisation 1C,LU0322253906,21554655,"3 438,71 M$","0,33 %",Arvopaperi,
XMEU,Xtrackers MSCI EUROPE UCITS ETF Capitalisation 1C,LU0274209237,16564494,"8 577,38 M$","0,13 %",Arvopaperi,
XIEE,Xtrackers MSCI EUROPE UCITS ETF Distribution 1D,LU1242369327,144417031,"147,42 M$","0,13 %",Arvopaperi,Neljännesvuosittain
XS6R,Xtrackers MSCI Europe Utilities Screened UCITS ETF -1C- Capitalisation,LU0292104899,18441115,"77,27 M€","0,20 %",Arvopaperi,
D5BL,Xtrackers MSCI Europe Value Factor UCITS ETF (DR) Capitalisation 1C,LU0486851024,35486963,"240,77 M€","0,15 %",Arvopaperi,
XGLF,Xtrackers MSCI GCC Select Swap UCITS ETF,IE00BQXKVQ19,125494074,"26,1 M$","0,65 %",Johdannainen,
XDG6,Xtrackers MSCI Global Clean Water & Sanitation UCITS ETF Accum Shs -1C- USD,IE0007WJ6B10,410500936,"7,85 M$","0,35 %",Arvopaperi,
XDG3,Xtrackers MSCI Global SDG 3 Good Health UCITS ETF,IE00036F4K40,410500935,"24,83 M$","0,35 %",Arvopaperi,
XCS5,Xtrackers MSCI INDIA SWAP UCITS ETF Capitalisation 1C,LU0514695187,49012766,"640,32 M$","0,19 %",Johdannainen,
XAIN,Xtrackers MSCI INDONESIA SWAP UCITS ETF Capitalisation 1C,LU0476289623,40916496,"37,02 M$","0,65 %",Johdannainen,
XZMJ,Xtrackers MSCI Japan ESG UCITS ETF Accum Shs -1C- USD,IE00BG36TC12,217616820,"3 074,96 M$","0,20 %",Arvopaperi,
XDNY,Xtrackers MSCI Japan Screened UCITS ETF 1D- JPY,IE00BPVLQD13,130467085,"52 224,5 MJPY","0,15 %",Arvopaperi,Puolivuosittain
XDNE,Xtrackers MSCI Japan Screened UCITS ETF Accum Shs -3C- Hedged EUR,IE00BRB36B93,130467086,"73,56 MJPY","0,25 %",Arvopaperi,
XMK9,Xtrackers MSCI Japan UCITS ETF,LU0659580079,62780270,"840,8 MJPY","0,40 %",Arvopaperi,
DBXJ,Xtrackers MSCI JAPAN UCITS ETF Capitalisation 1C,LU0274209740,16564496,"5 715,06 MJPY","0,20 %",Arvopaperi,
DBX8,Xtrackers MSCI KOREA UCITS ETF,LU0292100046,18643811,"332,79 M$","0,65 %",Arvopaperi,
XCS3,Xtrackers MSCI MALAYSIA UCITS ETF Capitalisation 1C,LU0514694370,49012764,"74,47 M$","0,50 %",Arvopaperi,
XNGI,Xtrackers MSCI Next Generation Internet Innovation UCITS ETF Accum-1C- USD,IE000XOQ9TK4,387407722,"66,94 M$","0,35 %",Arvopaperi,
XDN0,Xtrackers MSCI Nordic UCITS ETF,IE00B9MRHC27,89227367,"970,71 M€","0,30 %",Arvopaperi,Puolivuosittain
XDND,Xtrackers MSCI North America High Dividend Yield UCITS ETF,IE00BH361H73,98264480,"138,72 M$","0,39 %",Arvopaperi,
DXS6,Xtrackers MSCI Pacific ex Japan Screened UCITS ETF -1C- Capitalisation,LU0322252338,26954821,"702,51 M$","0,25 %",Arvopaperi,
XBAK,Xtrackers MSCI PAKISTAN SWAP UCITS ETF Capitalisation 1C,LU0659579147,68975196,"23,06 M$","0,85 %",Johdannainen,
XPQP,Xtrackers MSCI PHILIPPINES UCITS ETF Capitalisation 1C,LU0592215403,68975194,"40,95 M$","0,65 %",Arvopaperi,
XBAS,Xtrackers MSCI SINGAPORE UCITS ETF Capitalisation 1C,LU0659578842,68975195,"97,29 M$","0,50 %",Arvopaperi,
DBX5,Xtrackers MSCI TAIWAN UCITS ETF Capitalisation 1C,LU0292109187,18362679,"335,14 M$","0,69 %",Arvopaperi,
XCS4,Xtrackers MSCI THAILAND UCITS ETF Capitalisation 1C,LU0514694701,49012765,"151,54 M$","0,50 %",Arvopaperi,
XASX,Xtrackers MSCI UK ESG UCITS ETF (DR) 1D- Distribution,LU0292097747,18362673,"614,66 M£","0,18 %",Arvopaperi,Neljännesvuosittain
XUEN,Xtrackers MSCI USA Energy UCITS ETF,IE00BCHWNS19,196790315,"115,5 M$","0,12 %",Arvopaperi,Puolivuosittain
XZMU,Xtrackers MSCI USA ESG UCITS ETF Accum Shs -1C- USD,IE00BFMNPS42,217616825,"8 140,72 M$","0,15 %",Arvopaperi,
XRSM,Xtrackers MSCI USA Screened UCITS ETF Accum Shs -1C- USD,IE00BJZ2DC62,127940580,"601,76 M$","0,07 %",Arvopaperi,
XMUS,Xtrackers MSCI USA SWAP UCITS ETF Capitalisation 1C,LU0274210672,16564499,"5 085,02 M$","0,15 %",Johdannainen,
XD9U,Xtrackers MSCI USA UCITS ETF,IE00BJ0KDR00,103515337,"11 742,6 M$","0,07 %",Arvopaperi,
XWTS,Xtrackers MSCI World Communication Services UCITS ETF,IE00BM67HR47,157212906,"530,4 M$","0,25 %",Arvopaperi,
XDWC,Xtrackers MSCI World Consumer Discretionary UCITS ETF,IE00BM67HP23,157212904,"308,85 M$","0,25 %",Arvopaperi,
XDWS,Xtrackers MSCI World Consumer Staples UCITS ETF,IE00BM67HN09,157212903,"859,34 M$","0,25 %",Arvopaperi,
XDW0,Xtrackers MSCI World Energy UCITS ETF,IE00BM67HM91,157212902,"2 033,88 M$","0,25 %",Arvopaperi,
EXUS,Xtrackers MSCI World ex USA UCITS ETF 1C USD,IE0006WW1TQ4,454412888,"6 115,42 M$","0,15 %",Arvopaperi,
XDWF,Xtrackers MSCI World Financials UCITS ETF,IE00BM67HL84,157212901,"871,95 M$","0,30 %",Arvopaperi,
XDWH,Xtrackers MSCI World Health Care UCITS ETF,IE00BM67HK77,157212898,"3 140,11 M$","0,25 %",Arvopaperi,
XDWI,Xtrackers MSCI World Industrials UCITS ETF,IE00BM67HV82,157212909,"957,45 M$","0,25 %",Arvopaperi,
XDWT,Xtrackers MSCI World Information Technology UCITS ETF,IE00BM67HT60,157212908,"5 552,31 M$","0,25 %",Arvopaperi,
XDWM,Xtrackers MSCI World Materials UCITS ETF,IE00BM67HS53,157212907,"722,98 M$","0,25 %",Arvopaperi,
XDEB,Xtrackers MSCI World Minimum Volatility UCITS ETF,IE00BL25JN58,112591778,"1 024,41 M$","0,25 %",Arvopaperi,
XDEM,Xtrackers MSCI World Momentum UCITS ETF,IE00BL25JP72,112591779,1 964 M$,"0,25 %",Arvopaperi,
XDEQ,Xtrackers MSCI World Quality UCITS ETF,IE00BL25JL35,112591776,"2 923,85 M$","0,25 %",Arvopaperi,
DBXW,Xtrackers MSCI WORLD SWAP UCITS ETF Capitalisation 1C,LU0274208692,16508548,"5 746,87 M$","0,45 %",Johdannainen,
XWEH,Xtrackers MSCI WORLD SWAP UCITS ETF Capitalisation 4C,LU0659579733,87715955,"1 361,91 M$","0,39 %",Johdannainen,
XDWD,Xtrackers MSCI World UCITS ETF,IE00BJ0KDQ92,109136082,"21 048,9 M$","0,12 %",Arvopaperi,
XDWL,Xtrackers MSCI World UCITS ETF,IE00BK1PV551,130467083,"5 079,33 M$","0,19 %",Arvopaperi,Neljännesvuosittain
XDWU,Xtrackers MSCI World Utilities UCITS ETF,IE00BM67HQ30,157212905,"935,97 M€","0,25 %",Arvopaperi,
XDEV,Xtrackers MSCI World Value UCITS ETF,IE00BL25JM42,112591777,"4 562,8 M$","0,25 %",Arvopaperi,
DBX7,Xtrackers NIFTY 50 SWAP UCITS ETF Capitalisation 1C,LU0292109690,18643816,"183,98 M$","0,85 %",Johdannainen,
XDJP,Xtrackers Nikkei 225 UCITS ETF (DR) Distribution 1D,LU0839027447,76671065,339 485 MJPY,"0,09 %",Arvopaperi,Puolivuosittain
XNZN,Xtrackers Nordic Net Zero Pathway Paris Aligned UCITS ETF,IE000HT7E0B1,418730014,"76,32 M€","0,15 %",Arvopaperi,
XAD5,Xtrackers Physical Gold ETC (EUR),DE000A1E0HR8,38588672,"2 863,84 M$","0,25 %",Arvopaperi,
XAD1,Xtrackers Physical Gold EUR Hedged ETC,DE000A1EK0G3,37730445,"2 122,1 M€","0,59 %",Arvopaperi,
XAD3,Xtrackers Physical Platinum EUR Hedged ETC,DE000A1EK0H1,38163241,"65,88 M€","0,69 %",Arvopaperi,
XAD6,Xtrackers Physical Silver ETC,DE000A1E0HS6,38588673,"674,15 M$","0,40 %",Arvopaperi,
XAD2,Xtrackers Physical Silver EUR Hedged ETC,DE000A1EK0J7,37730448,"339,2 M€","0,75 %",Arvopaperi,
XQUI,Xtrackers Portfolio Total Return UCITS ETF (DR) Capitalisation 1C,LU0397221945,26253806,"703,76 M€","0,70 %",Arvopaperi,
XRS2,Xtrackers Russell 2000 UCITS ETF,IE00BJZ2DD79,127940581,"2 553,63 M$","0,30 %",Arvopaperi,
DBPK,Xtrackers S&P 500 2X INVERSE DAILY UCITS ETF Capitalisation E1C,LU0411078636,34800154,"53,7 M$","0,70 %",Johdannainen,
DBPG,Xtrackers S&P 500 2X LEVERAGED DAILY UCITS ETF Capitalisation 1C,LU0411078552,34800153,"574,85 M$","0,60 %",Johdannainen,
XZEW,Xtrackers S&P 500 Equal Weight Scored & Screened UCITS ETF Accum Shs -1C- USD,IE0004MFRED4,404032772,"1 502,27 M$","0,17 %",Arvopaperi,
XDEW,Xtrackers S&P 500 Equal Weight UCITS ETF,IE00BLNMYC90,109136083,"10 108,8 M$","0,20 %",Arvopaperi,
DXS3,Xtrackers S&P 500 INVERSE DAILY SWAP UCITS ETF Capitalisation 1C,LU0322251520,21554650,"142,77 M$","0,50 %",Johdannainen,
D5BM,Xtrackers S&P 500 SWAP UCITS ETF Capitalisation 1C,LU0490618542,35486965,"4 701,74 M$","0,15 %",Johdannainen,
XDPE,Xtrackers S&P 500 UCITS ETF,IE00BM67HW99,127940582,"466,7 M$","0,32 %",Arvopaperi,
DX2S,Xtrackers S&P ASX 200 UCITS ETF Distribution 1D,LU0328474803,21554660,"102,35 MAUD","0,50 %",Arvopaperi,Puolivuosittain
DX2E,Xtrackers S&P Global Infrastructure Swap UCITS ETF Capitalisation 1C,LU0322253229,21554653,"561,85 M$","0,60 %",Johdannainen,
DX2Z,Xtrackers S&P Select Frontier Swap UCITS ETF Capitalisation 1C,LU0328476410,21631216,"148,8 M$","0,95 %",Johdannainen,
DXSN,Xtrackers ShortDAX Daily Swap UCITS ETF Capitalisation 1C,LU0292106241,18084740,"166,2 M€","0,40 %",Johdannainen,
DBPD,Xtrackers SHORTDAX X2 DAILY UCITS ETF Capitalisation 1C,LU0411075020,34800150,"76,77 M€","0,60 %",Johdannainen,
D5BI,Xtrackers SICAV - MSCI Mexico UCITS ETF,LU0476289466,35486959,"362,46 M$","0,65 %",Arvopaperi,
AH50,Xtrackers SICAV - Xtrackers Harvest CSI A500 UCITS ETF 1D Distribution,LU1310477036,157820681,"15,97 M$","0,65 %",Arvopaperi,Puolivuosittain
DXS0,Xtrackers SLI UCITS ETF Distribution 1D,LU0322248146,21554649,"415,58 MCHF","0,25 %",Arvopaperi,Puolivuosittain
XESP,Xtrackers Spanish Equity UCITS ETF (DR) Capitalisation 1C,,192547802,"172,52 M€","0,30 %",Arvopaperi,
XSX6,Xtrackers Stoxx Europe 600 UCITS ETF Capitalisation 1C,LU0328475792,26954822,3 688 M€,"0,20 %",Arvopaperi,
XGSD,Xtrackers STOXX GLOBAL SELECT DIVIDEND 100 SWAP UCITS ETF Distribution 1D,LU0292096186,18084739,"881,14 M€","0,50 %",Johdannainen,Vuosittain
XSMI,Xtrackers Switzerland UCITS ETF Distribution 1D,LU0274221281,16564501,"1 584,52 MCHF","0,30 %",Arvopaperi,Vuosittain
XDGU,Xtrackers USD Corporate Bond UCITS ETF,IE00BZ036H21,144411606,"984,01 M$","0,12 %",Arvopaperi,Neljännesvuosittain
XDGE,Xtrackers USD Corporate Bond UCITS ETF,IE00BZ036J45,156176082,"231,41 M$","0,21 %",Arvopaperi,Neljännesvuosittain
XZHY,Xtrackers USD High Yield Corporate Bond Screened UCITS ETF -1C- USD,IE0006YM7D84,386538992,"86,89 M$","0,25 %",Arvopaperi,
XFVT,Xtrackers Vietnam Swap UCITS ETF 1C Capitalisation,LU0322252924,21554651,"387,82 M$","0,85 %",Johdannainen,
