tunnus,nimi,isin,id_notation,aum,kulut,toteutus,osinko
PAC,MSCI Pacific ex Japan ESG Filtered Min TE UCITS ETF Capitalisation,LU1291106356,170544044,,,Arvopaperi,
MD4X,Multi Units France - Amundi MDAX UCITS ETF,FR0011857234,104868905,"208,37 M€","0,20 %",Arvopaperi,
LYM9,Multi Units France - Amundi MSCI New Energy ESG Screened UCITS,FR0010524777,20764507,"939,81 M€","0,69 %",Arvopaperi,Vuosittain
LYMS,Multi Units Lu - Amundi Core Nasdaq-100 Swap,LU1829221024,242978044,"5 090,76 M€","0,22 %",Johdannainen,
LYEB,Multi Units LU - Amundi EUR Corp. Bond PAB Net Zero Ambition,LU1829219127,233420821,"1 152,66 M€","0,14 %",Arvopaperi,
LBRE,Multi Units LU - Amundi STOXX Europe 600 Basic Resources,LU1834983550,242978048,"464,3 M€","0,30 %",Johdannainen,
LCUJ,Multi Units Luxembourg SICAV - Amundi Core MSCI Japan UCITS ETF Acc,LU1781541252,213216723,933 000 MJPY,"0,12 %",Arvopaperi,
KLMT,Multi Units Luxembourg SICAV - Amundi Global Aggregate Green Bond Acc Capitalisation,LU1563454310,281485839,"264,7 M€","0,00 %",Arvopaperi,
LSMC,Multi Units Luxembourg SICAV - Amundi MSCI Semiconductors,LU1900066033,24871578,"1 534,52 M$","0,35 %",Arvopaperi,
LYPG,Multi Units Luxembourg SICAV - Amundi MSCI World Information Technology UCITS ETF EUR ACC,LU0533033667,39196822,"2 450,71 M€","0,30 %",Johdannainen,
USCP,Ossiam Shiller Barclays Cape US Sector Value UCITS ETF 1C EUR,LU1079841273,138108268,"733,57 M€","0,65 %",Johdannainen,
COVR,PIMCO Advantage Covered Bond UCITS ETF EUR,IE00BF8HV717,95695547,,,Arvopaperi,Vuosittain
LDCE,PIMCO ETFs PLC - PIMCO Advantage Euro Low Duration Corporate Bond UCITS ETF Shs EUR,IE00BP9F2J32,118860784,"146,35 M€","0,31 %",Arvopaperi,Neljännesvuosittain
EUHA,PIMCO ETFs PLC - PIMCO Advantage Euro Short-Term High Yield Corporate Bond UCITS ETF Accum Shs EUR,IE00BD8D5G25,200076587,"403,42 M€","0,45 %",Arvopaperi,
PJS1,PIMCO Euro Short Maturity UCITS ETF,IE00B5ZR2157,42215196,"685,01 M€","0,19 %",Arvopaperi,Kuukausittain
PJSR,PIMCO Euro Short Maturity UCITS ETF,IE00BVZ6SP04,132842196,"833,68 M€","0,19 %",Arvopaperi,
CIRC,Rize Circular Economy Enablers Ucits ETF,IE000RMSPY39,422092209,"2,46 M$","0,45 %",Arvopaperi,
RCRS,Rize Cybersecurity and Data Privacy UCITS ETF Accum USD,IE00BJXRZJ40,282529257,99 M$,"0,71 %",Arvopaperi,
